name, duty
J1842+0358,0.0234375
J1842+0638,0.1171875
J1842+1332,0.20703125
J1843+2024,0.01171875
J1843-0000,0.0390625
J1844+00,0.0234375
J1845-0743,0.03125
J1846-07492,0.02734375
J1847-0605,0.05078125
J1848+0604,0.01953125
J1848+0647,0.03515625
J1848+0826,0.0625
J1848+12,0.14453125
J1848+1516,0.03125
J1848-0023,0.01171875
J1849+0409,0.01953125
J1849+2423,0.04296875
J1849+2559,0.01171875
J1849-0317,0.0234375
J1849-0614,0.02734375
J1850+0026,0.015625
J1851-0053,0.015625
J1852+0008,0.0546875
J1853+1303,0.15234375
J1853-0649,0.03125
J1855-0941,0.03125
J1856-0526,0.1171875
J1857-1027,0.05078125
J1859+1526,0.01171875
J1859+76,0.0234375
J1900+30,0.015625
J1901+0254,0.04296875
J1901+1306,0.046875
J1902+0723,0.06640625
J1903+2225,0.0234375
J1903-0848,0.015625
J1904+33,0.0419921875
J1907+57,0.0166015625
J1908+0500,0.015625
J1908+0734,0.01953125
J1908+2351,0.015625
J1909+0641,0.01171875
J1909+1450,0.03515625
J1909+1859,0.01953125
J1910+0225,0.0703125
J1910+0714,0.01953125
J1910+1256,0.0478515625
J1911+1347,0.033203125
J1911+1758,0.01171875
J1912+2525,0.01171875
J1913+0446,0.01171875
J1913+1011,0.078125
J1913+3732,0.01171875
J1915+0738,0.0078125
J1915+0752,0.01171875
J1918-0642,0.04638671875
J1920+1040,0.046875
J1921-05,0.0185546875
J1922+58,0.02734375
J1923+2515,0.0263671875
J1923+4243,0.015625
J1924+1639,0.04296875
J1925+19,0.1015625
J1927+08,0.01953125
J1928+28,0.005859375
J1929+1955,0.0625
J1929+3817,0.0234375
J1931+30,0.078125
J1932+1500,0.03515625
J1933+5335,0.02734375
J1934+5219,0.04296875
J1938+2213,0.05859375
J1938+27,0.03515625
J1938+6604,0.013671875
J1939+26,0.0234375
J1940+14,0.02734375
J1941+02,0.037109375
J1941+1026,0.01171875
J1941+1341,0.0390625
J1942+8106,0.01171875
J1943+0609,0.0078125
J1944+0907,0.095703125
J1946+14,0.0234375
J1946+2535,0.0546875
J1946+2611,0.03515625
J1948+2333,0.03125
J1949+2306,0.0234375
J1949+3106,0.05859375
J1949+3426,0.0234375
J1950+05,0.04296875
J1953+67,0.0390625
J1954+1021,0.015625
J1954+3852,0.015625
J1954+43,0.07421875
J1955+2527,0.17578125
J1956+0838,0.0546875
J1957+2831,0.03515625
J2000+29,0.005859375
J2001+42,0.01953125
J2002+30,0.03125
J2005-0020,0.0234375
J2006+22,0.01171875
J2006+3102,0.0078125
J2007+0809,0.234375
J2007+0910,0.01953125
J2008+2513,0.01953125
J2010+2845,0.015625
J2010+3230,0.05078125
J2010-1323,0.052734375
J2011+3331,0.04296875
J2013+3058,0.01171875
J2013-0649,0.015625
J2015+2524,0.01953125
J2016+1948,0.04296875
J2017+0603,0.05859375
J2017+2043,0.01171875
J2017+59,0.140625
J2018+3431,0.0234375
J2018-0414,0.0390625
J2019+2425,0.078125
J2022+21,0.0234375
J2022+2534,0.150390625
J2027+4557,0.01953125
J2027+7502,0.05859375
J2030+55,0.01953125
J2032+4127,0.05859375
J2033+0042,0.015625
J2033+1734,0.04345703125
J2036+2835,0.015625
J2036+6646,0.02734375
J2038+35,0.029296875
J2040+1657,0.0234375
J2043+1711,0.087890625
J2043+2740,0.03515625
J2043+7045,0.046875
J2044+28,0.0283203125
J2044+4614,0.0234375
J2045+0912,0.02734375
J2045+3633,0.11328125
J2047+5029,0.015625
J2048+2255,0.0234375
J2051+1248,0.09375
J2051-0827,0.19140625
J2053+4650,0.171875
J2053+4718,1.0
J2055+3829,0.18359375
J2057+21,0.0234375
J2102+38,0.02734375
J2104+2830,0.0166015625
J2105+07,0.015625
J2105+6223,0.0078125
J2108+45,0.07421875
J2111+2106,0.01171875
J2122+2426,0.03515625
J2122+54,0.046875
J2123+36,0.015625
J2137+6428,0.01171875
J2138+4911,0.1328125
J2139+00,0.05078125
J2139+2242,0.03515625
J2145+2158,0.01953125
J2145-0750,0.07568359375
J2151+2315,0.06640625
J2155+2813,0.01171875
J2156+2618,0.015625
J2203+50,0.0546875
J2205+1444,0.02734375
J2206+6151,0.0703125
J2207+40,0.07421875
J2208+5500,0.015625
J2209+22,0.01171875
J2210+5712,0.0205078125
J2213+53,0.015625
J2214+3000,0.0966796875
J2215+1538,0.015625
J2216+5759,0.02734375
J2217+5733,0.01953125
J2222+2923,0.01953125
J2222-0137,0.01953125
J2227+30,0.0234375
J2228+3041,0.02734375
J2229+2643,0.15625
J2229+6114,0.1171875
J2229+64,0.01953125
J2234+0611,0.06640625
J2234+0944,0.1220703125
J2234+2114,0.03515625
J2235+1506,0.05859375
J2238+6021,0.01171875
J2240+5832,0.1640625
J2241+6941,0.015625
J2243+1518,0.03515625
J2244+63,0.01171875
J2248-0101,0.0234375
J2252+24,0.0087890625
J2253+1516,0.0078125
J2256-1024,0.0693359375
J2302+4442,0.091796875
J2302+6028,0.015625
J2306+31,0.02734375
J2307+2225,0.0234375
J2310+6706,0.0107421875
J2311+67,0.01953125
J2312+6931,0.01953125
J2317+1439,0.08203125
J2319+6411,0.05859375
J2322+2057,0.16796875
J2323+1211,0.0029296875
J2325-0530,0.015625
J2329+4743,0.00390625
J2333+6145,0.03515625
J2336-01,0.04296875
J2340+08,0.07421875
J2343+6221,0.0234375
J2346-0609,0.01171875
J2350+31,0.01953125
J2351+8533,0.015625
J2352+65,0.0546875
J2355+2246,0.02734375
