PSR S/N sigma(S/N) integration_time normalised_snr RA Dec
J2222-0137 40.5663558651 22.036328983 645.414925532 39.11308926255494 22 1
B0226+70 79.0061130407 26.325424891999997 2477.53164634 38.8800411327742 2 70
J2343+6221 70.92888654069999 14.4765282083 2002.3770000000002 38.82628546827816 23 62
J2013+3058 27.4081499736 9.02071204477 301.605333333 38.657684627798226 20 30
J2045+0912 46.7036133721 22.349806064099997 906.825 37.98956890563503 20 9
B1738-08 44.18135854729999 12.595007408499999 832.5033478260001 37.50780909296992 17 8
B2122+13 38.237991678600004 12.364616518499998 632.2852471909999 37.2489620176492 21 13
B0053+47 53.1403749861 21.651765236 1228.08402439 37.14378860289265 0 47
J1125+7819 69.0065597183 73.3694347611 2176.6179601999997 36.23054754089077 11 78
J0711+0931 29.6767659801 15.6485873657 406.81326732699995 36.04081831671886 7 9
J0947+2740 40.5839139481 13.640252063 766.553184332 35.90528742208121 9 27
J0646+0905 37.9915607412 11.6856792188 676.764823944 35.772053514819156 6 9
B1902-01 32.2583169937 7.303606987 512.47 34.90463549247309 19 1
B1834-10 22.686269760100004 0.0 254.98 34.80051401988745 18 10
J2229+2643 43.604606053999994 23.163777299899998 947.555308725 34.698101079955755 22 26
J2317+1439 41.8528785213 22.723212158699997 879.4850451130001 34.56899299141862 23 14
J1238+2152 38.6459860367 19.1852672232 758.7851538460001 34.3653368553691 12 21
B0153+39 46.1032916838 12.3835367144 1080.9205042 34.34872981579598 1 39
J2008+2513 44.0589993954 16.2792658674 994.832 34.2164841055425 20 25
B1859+01 38.7680931091 5.3648109436 774.98 34.111814211253495 18 1
J0417+35 44.460016706800005 10.562119314 1030.56229012 33.92408348412828 4 35
J0627+0649 32.7687665198 11.0329173044 564.3006 33.789398686411445 6 6
J2222+2923 37.3515014542 89.3119038227 734.5356964289999 33.758041004420356 22 29
B0643+80 56.0510864258 0.0 1691.01 33.387705346637816 6 80
J1900+30 40.7023350535 11.162259524500001 907.870172414 33.08895687310275 19 30
J2017+2043 30.1566991589 8.66998626127 504.91727272699995 32.873755053568395 20 20
J2240+5832 38.838153839099995 6.951957655299999 848.545151515 32.65853691697328 22 58
J0613-0200 38.0088070734 13.260142129 837.472222642 32.17174804440671 6 2
J2010+2845 40.387883629099996 10.5919575899 957.222632653 31.97571336247619 20 28
J2007+0809 34.4345146179 7.78495732352 708.7581428569999 31.682581453280356 20 8
J0243+6027 46.892754608400004 11.8980505824 1377.13460714 30.952317687808243 2 60
J2111+2106 32.2628187607 9.76988518358 663.941572414 30.669945363738226 21 21
J1912+2525 37.2252720424 6.86974541344 888.1291428569999 30.59676034962048 19 25
J1944+0907 35.8042222105 14.3078311861 841.800172775 30.227718123769865 19 9
J0325+6744 57.760512044799995 11.7552538159 2205.08346154 30.1296539574641 3 67
J2248-0101 28.699562915500003 6.61747486789 551.690806202 29.92974622886168 22 1
J2346-0609 28.603727200100003 13.597563649200001 560.289294964 29.60002584230303 23 6
J1957+2831 20.5291996002 0.14030075074999998 291.995 29.427944956540564 19 28
J2102+38 37.3788797288 9.206651927360001 1009.2351 28.820780188711666 21 38
J1922+58 43.5320299268 25.86778157 1370.29444444 28.805644443752236 19 58
J0459-0210 30.099876627399997 9.56802276512 657.531217241 28.752933010253162 4 2
J1910+0714 31.4503195286 13.4537362746 718.98175 28.730405387239184 19 7
B1957+20 36.3045597357 14.1430902148 960.853529412 28.68852400218275 19 20
J0152+0948 18.6579105101 9.336222458139998 253.84894736799998 28.68474196223395 1 9
J2333+6145 42.5510397618 8.225837525700001 1364.86297297 28.212480764202773 23 61
J2016+1948 18.7987328078 5.47164512104 268.921052632 28.079657039447017 20 19
B0149-16 33.330363095900005 56.9277054786 846.068061818 28.068100275884657 1 16
B1745-12 32.8736364252 8.5172102595 838.9637956989999 27.800445973550854 17 12
J1744-1134 31.973589168 16.3089838631 840.868802326 27.008651165556937 17 11
J1544+4937 39.0180258503 10.7142702635 1271.70262295 26.800823199813717 15 49
B0148-06 31.1647533792 15.625221229500001 819.034454545 26.674005341268963 1 6
J2302+4442 37.8389534102 11.744850231800001 1223.50004237 26.49797869333952 23 44
J1549+2113 31.8726010689 15.6724307092 889.087775641 26.18308482038795 15 21
J1909+1859 31.2085851034 8.60800393672 861.322 26.047553259709257 19 18
J0621+0336 24.8542079783 7.856731595860001 546.364955224 26.045586161121644 6 3
J1946+2611 22.1056821848 5.589728496749999 432.603684211 26.033612734475458 19 26
B1254-10 30.5512337349 13.5689959057 830.407370892 25.969212510984644 12 10
J2122+54 34.9238652835 10.9107490449 1090.43061947 25.905913462502824 21 54
B1620-09 30.143177180100004 7.335358930860001 827.0231192660001 25.67472652162262 16 9
B1758-03 29.881892068000003 3.3153199798400004 826.5392857139999 25.459622955035222 17 3
J0555+3948 31.8226086747 21.690374456500003 967.527090909 25.059929010086176 5 39
J1954+43 24.9643847148 3.66314646499 600.646666667 24.9509425500268 19 43
J2017+59 30.6422818229 13.685330741700001 912.6425 24.84542231532473 20 59
J2216+5759 23.1402095604 3.7756770692400003 526.1344 24.711241432556335 22 57
J1612+2008 29.795905364899998 16.3372843232 877.2970416669999 24.64103122111911 16 20
B2003-08 28.4139701486 13.249826085 813.518125 24.401916032273455 20 8
J0023+0923 28.7480292686 82.21302186310001 835.008131579 24.36903608991161 0 9
B1926+18 15.9942099498 10.361082154 266.76 23.98711754636786 19 18
J2155+2813 21.0327924518 6.50050030345 465.046395349 23.890454955847908 21 28
B1953+29 29.525436734499998 6.69776773695 957.089196581 23.377375270594694 19 29
J2007+0910 25.9722606341 7.89327752847 743.6550555560001 23.32918731846523 20 9
J2005-0020 25.0453079261 12.605655799200001 706.65945098 23.077933361183216 20 0
J2011+3331 20.8130832911 5.56533966974 489.60909090900003 23.0402565655998 20 33
J2048+2255 19.1912567567 6.34568181873 417.962306122 22.993785868931965 20 22
J0943+2253 24.9178754757 13.615582508 719.399234742 22.756300004848374 9 22
J0340+4130 31.384426748899998 22.134939370700003 1145.55759878 22.713358746718555 3 41
J1956+0838 26.7114020095 7.339159736860001 834.954470588 22.643362097540784 19 8
B1726-00 25.9474398699 8.489814590689999 816.805565574 22.238771637618328 17 0
J1746+2540 27.105536981100002 10.5812916395 930.0806363639999 21.770747419274233 17 25
B0943+10 25.650229658 19.9659463408 843.546113402 21.63278672789951 9 10
J1720+2150 26.08060953 10.999786889400001 890.024840336 21.413728810391184 17 21
J0509+0856 25.4240597343 6.47098414595 850.9221134019999 21.348905773612582 5 8
J2238+6021 33.854731631599996 10.1963000576 1509.78497908 21.3421147449478 22 60
J2156+2618 20.8930545947 9.174449844360002 578.214955414 21.283002893800315 21 26
J2040+1657 14.0969901819 2.9440853842699997 263.713846154 21.2635393918299 20 16
B0447-12 24.910299026500002 6.85377018964 833.647056962 21.133112035996465 4 12
J1851-0053 24.8224716187 0.0 834.987 21.0416983828368 18 0
B1907+12 25.8993091583 2.75800933112 917.32 20.94610970463287 19 12
J1915+0752 17.5343320846 2.8381174806000002 420.666 20.940938756971004 19 7
J2205+1444 13.7182308753 3.6693323260300006 259.733 20.850197205486598 22 14
J1748+59 34.5862893518 8.98028486465 1656.19773585 20.81725693090127 17 59
J2047+5029 31.3787362417 3.225299994 1373.10466667 20.742411810018435 20 50
